user_id,avg_manipulative_rhetoric_score,non_neutral_post_ratio,comment_label_oppositional_ratio,anomaly_label,anomaly_score,comment_count,analyzed_post_count
Complex-Card-2356,0.0,0.0,1.0,1,4.1879964817216955,2.0,0.0
FuckYaHoeAssMom,0.0,0.0,1.0,1,3.860761242759377,2.0,0.0
GetRichQuickStocks,75.0,1.0,0.1785714285714285,1,2.0378499310252742,28.0,1.0
Ilovecash1,0.0,0.0,0.6666666666666666,1,1.1829147660545258,3.0,0.0
Inevitable-Notice351,0.0,0.0,1.0,1,4.01970579933204,2.0,0.0
Just-Shoe2689,0.0,0.0,1.0,1,3.407977411125817,7.0,0.0
Nementon,0.0,0.0,0.3684210526315789,1,1.884381399846616,19.0,0.0
No-Plastic-4640,0.0,0.0,1.0,1,1.9458268601741424,4.0,0.0
Odd-Following-247,26.0,1.0,0.4444444444444444,-1,-7.426678893806956,99.0,5.0
Ovniologo2,0.0,0.0,1.0,1,4.095879680895166,2.0,0.0
newengland20,0.0,0.0,1.0,1,1.1417971569298435,2.0,0.0
